#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# MAGYAR (?) GROUP
# hungarian
emperor_hungarian;Cadaverist Pope;;;;;;;;;;;;;x,,,,,,
# EREALIC GROUP
# ereal
count_ereal;Lestur;;;;;;;;;;;;;x,,,,,,
count_female_ereal;Lestris;;;;;;;;;;;;;x,,,,,,
duke_ereal;Etibun;;;;;;;;;;;;;x,,,,,,
duke_female_ereal;Etibunis;;;;;;;;;;;;;x,,,,,,
king_ereal;Tchonsul;;;;;;;;;;;;;x,,,,,,
king_female_ereal;Tchonsulis;;;;;;;;;;;;;x,,,,,,
emperor_ereal;Impeatur;;;;;;;;;;;;;x,,,,,,
emperor_female_ereal;Impeatis;;;;;;;;;;;;;x,,,,,,
#
# calugian
count_calugian;Lestur;;;;;;;;;;;;;x,,,,,,
count_female_calugian;Lestrés;;;;;;;;;;;;;x,,,,,,
duke_calugian;Etipun;;;;;;;;;;;;;x,,,,,,
duke_female_calugian;Etépunés;;;;;;;;;;;;;x,,,,,,
king_calugian;Tchonsul;;;;;;;;;;;;;x,,,,,,
king_female_calugian;Tchonsolés;;;;;;;;;;;;;x,,,,,,
emperor_calugian;Impheator;;;;;;;;;;;;;x,,,,,,
emperor_female_calugian;Émpheatés;;;;;;;;;;;;;x,,,,,,
#
# ISHDADIC GROUP
# ishdad
count_ishdad;Governor;;;;;;;;;;;;;x,,,,,,
count_female_ishdad;Governess;;;;;;;;;;;;;x,,,,,,
duke_ishdad;Mejay;;;;;;;;;;;;;x,,,,,,
duke_female_ishdad;Mejayda;;;;;;;;;;;;;x,,,,,,
king_ishdad;Pharon;;;;;;;;;;;;;x,,,,,,
king_female_ishdad;Pharon;;;;;;;;;;;;;x,,,,,,
emperor_ishdad;Ar-Pharon;;;;;;;;;;;;;x,,,,,,
emperor_female_ishdad;Ar-Pharon;;;;;;;;;;;;;x,,,,,,
